开始时间,结束时间,报警保持时间,报警类型,是否需要回原点,报警内容,报警来源,报警等级
25-11-29 09:27:34.034,25-11-29 09:27:36.513,2478.581,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 09:27:44.604,25-11-29 09:28:04.736,20131.443,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-29 09:45:26.781,25-11-29 09:45:29.266,2485.016,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 09:45:36.533,25-11-29 09:45:51.432,14898.665,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-29 09:48:40.174,25-11-29 09:48:43.439,3264.717,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 09:48:50.280,25-11-29 09:48:59.652,9372.554,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-29 10:00:24.425,25-11-29 10:00:26.951,2526.285,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:04:17.309,25-11-29 10:04:20.039,2730.929,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:04:25.456,25-11-29 10:04:39.138,13681.921,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-29 10:17:36.579,25-11-29 10:17:38.862,2282.621,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:17:48.572,25-11-29 10:17:58.264,9691.662,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-29 10:21:16.012,25-11-29 10:21:18.480,2468.089,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:24:59.562,25-11-29 10:25:01.978,2416.102,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:29:37.580,25-11-29 10:29:41.354,3773.569,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 10:58:39.816,25-11-29 10:58:42.309,2492.317,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:00:05.749,25-11-29 11:00:08.225,2476.038,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:09:11.334,25-11-29 11:09:16.239,4905.961,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:09:50.623,25-11-29 11:09:53.382,2758.984,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:12:15.471,25-11-29 11:12:20.443,4971.449,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:13:12.789,25-11-29 11:13:15.096,2306.607,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:16:52.293,25-11-29 11:16:54.750,2456.904,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:21:51.824,25-11-29 11:21:55.114,3289.925,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 11:26:51.595,25-11-29 11:26:54.759,3164.236,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
